user_id;gender;age;zipcode;occupation
211;2;45;90620;technician/engineer
212;2;25;53714;sel1-e2ployed
213;1;18;1609;college/grad student
214;2;18;80218;writer
215;2;35;92075;sales/2arketing
216;2;45;52761;retired
217;2;18;22903;college/grad student
218;2;35;95822;sales/2arketing
219;1;25;55113;college/grad student
220;2;25;22903;progra22er
221;1;25;94063;other or not speci1ied
222;2;25;55116;acade2ic/educator
223;2;25;28262;technician/engineer
224;1;18;14850;college/grad student
225;2;25;11215;executive/2anagerial
226;2;35;94518;acade2ic/educator
227;2;35;90291;writer
228;2;25;55455;scientist
229;2;18;4576;K-12 student
230;2;45;43210;acade2ic/educator
231;2;25;55455;clerical/ad2in
232;2;25;55408;writer
233;1;45;37919-4204;writer
234;2;35;39652;executive/2anagerial
235;2;25;98153;other or not speci1ied
236;2;25;55126;custo2er service
237;2;25;46835;doctor/health care
238;1;50;90291;executive/2anagerial
239;2;18;94618;une2ployed
240;2;50;55113;technician/engineer
241;2;35;55121;writer
242;1;18;53706;college/grad student
243;2;25;11576;sel1-e2ployed
244;2;50;19072;executive/2anagerial
245;2;35;66046;sel1-e2ployed
246;1;18;60625;college/grad student
247;2;25;94404;technician/engineer
248;2;18;72703;technician/engineer
249;1;18;48126;sales/2arketing
250;2;35;11229;sel1-e2ployed
251;2;56;55105;technician/engineer
252;2;25;94112;progra22er
253;1;25;97370;lawyer
254;2;35;49015;technician/engineer
255;2;35;85310;other or not speci1ied
256;2;45;55076;sel1-e2ployed
257;2;18;55113;trades2an/cra1ts2an
258;2;25;55436;executive/2anagerial
259;2;25;60615;acade2ic/educator
260;2;18;98126;une2ployed
261;2;25;75801;writer
262;1;25;68503;acade2ic/educator
263;1;25;22304;executive/2anagerial
264;2;35;20755;other or not speci1ied
265;1;35;55116;executive/2anagerial
266;2;35;75229;lawyer
267;2;45;55001;progra22er
268;1;18;29708;progra22er
269;2;25;55408;artist
270;2;50;55414;sales/2arketing
271;2;18;48202;college/grad student
272;2;18;80302;other or not speci1ied
273;2;18;55427;college/grad student
274;2;18;55455;college/grad student
275;2;25;48162;other or not speci1ied
276;2;45;1982;sel1-e2ployed
277;1;35;98126;acade2ic/educator
278;2;45;60482;trades2an/cra1ts2an
279;2;25;91214;sales/2arketing
280;2;50;19118;executive/2anagerial
281;1;35;94117;other or not speci1ied
282;2;25;94401;technician/engineer
283;2;25;10003;other or not speci1ied
284;2;25;91910;progra22er
285;1;35;94109;other or not speci1ied
286;2;25;54601;acade2ic/educator
287;2;50;94706;retired
288;1;25;97119;progra22er
289;1;25;11801;other or not speci1ied
290;1;25;94591;writer
291;2;35;55110;progra22er
292;2;35;19406;executive/2anagerial
293;2;56;55337-4056;acade2ic/educator
294;1;45;43147;ho2e2aker
295;2;18;80203;other or not speci1ied
296;2;50;89432;custo2er service
297;2;18;97211;artist
298;1;18;19010;college/grad student
299;2;25;97370;progra22er
300;2;25;78664;executive/2anagerial
301;2;18;61820;college/grad student
302;2;18;4901;college/grad student
303;2;25;20006;executive/2anagerial
304;2;25;55414;other or not speci1ied
305;1;18;55414;other or not speci1ied
306;2;18;53051;other or not speci1ied
307;2;50;90027;sel1-e2ployed
308;2;25;10025;artist
309;2;25;16801;college/grad student
310;1;18;31207;college/grad student
311;2;18;31201;college/grad student
312;1;50;22207;artist
313;1;18;2138;college/grad student
314;1;56;46911;ho2e2aker
315;1;56;55105;acade2ic/educator
316;2;56;90740;retired
317;2;35;38555;executive/2anagerial
318;1;56;55104;retired
319;1;50;33436;doctor/health care
320;2;35;99516;doctor/health care
321;2;18;55128;college/grad student
322;2;56;55117;technician/engineer
323;2;45;53716;progra22er
324;2;35;55106;technician/engineer
325;1;50;55112;clerical/ad2in
326;2;50;25302;lawyer
327;2;35;55448;trades2an/cra1ts2an
328;2;35;80401;progra22er
329;2;35;2115;executive/2anagerial
330;2;56;92065;executive/2anagerial
331;2;25;55902;executive/2anagerial
332;2;50;55109;acade2ic/educator
333;2;35;55410;artist
334;1;56;55113;artist
335;2;35;55434;trades2an/cra1ts2an
336;2;18;98765;other or not speci1ied
337;2;18;80205;une2ployed
338;2;35;55116;executive/2anagerial
339;2;50;80207;executive/2anagerial
340;1;25;28001;clerical/ad2in
341;1;56;92119;retired
342;2;18;55076;progra22er
343;1;35;55127;clerical/ad2in
344;2;35;75034;sales/2arketing
345;2;25;94114;progra22er
346;1;25;55110;other or not speci1ied
347;1;56;55305;acade2ic/educator
348;2;50;55110;executive/2anagerial
349;2;1;8035;K-12 student
350;2;45;8035;writer
351;2;18;55105;college/grad student
352;2;18;60115;college/grad student
353;1;35;92625;executive/2anagerial
354;2;35;55117;acade2ic/educator
355;2;18;55107;clerical/ad2in
356;2;56;55101;writer
357;2;18;98103;other or not speci1ied
358;1;56;20815;acade2ic/educator
359;2;25;55128;technician/engineer
360;2;35;28208;technician/engineer
361;1;25;94115;sales/2arketing
362;2;35;55407;writer
363;2;18;55419;K-12 student
364;1;35;46815;acade2ic/educator
365;1;18;2138;college/grad student
366;2;50;55126;scientist
367;2;50;55421;progra22er
368;2;25;90293;other or not speci1ied
369;2;35;55110;acade2ic/educator
370;2;18;22304;technician/engineer
371;2;18;2141;college/grad student
372;1;18;72227;college/grad student
373;1;25;55347;artist
374;1;35;55346;sales/2arketing
375;2;25;55106;artist
376;2;35;80026;acade2ic/educator
377;2;25;55418;technician/engineer
378;1;18;55105;other or not speci1ied
379;1;35;54822;acade2ic/educator
380;2;25;92024;artist
381;2;35;89015;technician/engineer
382;1;35;66205;writer
383;1;25;78757;executive/2anagerial
384;2;25;55075;lawyer
385;2;25;68131;doctor/health care
386;2;25;55408;other or not speci1ied
387;1;35;55111;executive/2anagerial
388;1;25;10021;other or not speci1ied
389;2;25;68128;doctor/health care
390;2;25;55405;college/grad student
391;2;45;22122;lawyer
392;2;18;20037;executive/2anagerial
393;2;35;55402;technician/engineer
394;2;18;55013;other or not speci1ied
395;2;18;55104;custo2er service
396;2;25;56187;acade2ic/educator
397;2;35;22124;technician/engineer
398;2;25;55454;technician/engineer
399;1;35;55128;doctor/health care
400;1;18;55422;clerical/ad2in
401;2;18;55129;other or not speci1ied
402;2;25;55427;lawyer
403;2;18;2138;college/grad student
404;2;18;10128;college/grad student
405;2;56;13077;acade2ic/educator
406;2;25;55105;writer
407;2;18;89503;technician/engineer
408;2;25;2143;lawyer
409;2;18;55122;progra22er
410;1;25;55417;acade2ic/educator
411;1;45;43214;acade2ic/educator
412;2;35;55117;scientist
413;2;25;55409;lawyer
414;2;25;55317;other or not speci1ied
415;1;35;55406;other or not speci1ied
416;2;45;55076;sales/2arketing
417;1;25;50613;other or not speci1ied
418;1;25;54016;clerical/ad2in
419;2;18;55422;clerical/ad2in
420;2;35;55406;acade2ic/educator
421;1;45;55125;clerical/ad2in
422;2;56;55104;technician/engineer
423;2;18;55455;college/grad student
424;2;25;55112;technician/engineer
425;2;25;55303;progra22er
426;2;18;55455;college/grad student
427;2;35;55104;progra22er
428;1;18;55455;college/grad student
429;2;18;54901;other or not speci1ied
430;1;18;55306;K-12 student
431;2;18;55303;K-12 student
432;2;45;55306;sel1-e2ployed
433;2;50;55115;doctor/health care
434;1;45;98155;clerical/ad2in
435;2;25;55125;executive/2anagerial
436;2;18;43023;college/grad student
437;2;35;55030;technician/engineer
438;2;18;53705;lawyer
439;2;35;55129;sales/2arketing
440;2;56;32940;acade2ic/educator
441;2;35;55127;acade2ic/educator
442;2;25;55105;acade2ic/educator
443;2;25;55421;clerical/ad2in
444;2;56;55108;other or not speci1ied
445;2;45;55117;progra22er
446;1;50;55042;other or not speci1ied
447;1;45;55105;lawyer
448;2;25;80123;technician/engineer
449;2;25;85037;executive/2anagerial
450;2;45;24523;acade2ic/educator
451;2;56;54720;retired
452;2;50;55117;technician/engineer
453;2;18;55102;college/grad student
454;2;25;55092;writer
455;1;35;55113;artist
456;2;35;55105;other or not speci1ied
457;2;18;54703;college/grad student
458;2;50;55405-2546;sel1-e2ployed
459;1;18;55105;college/grad student
460;2;45;55313;trades2an/cra1ts2an
461;2;50;55075;executive/2anagerial
462;2;18;55416;sel1-e2ployed
463;2;25;55105;executive/2anagerial
464;1;18;55455;college/grad student
465;2;18;94523;une2ployed
466;2;25;55405;custo2er service
467;1;35;55075;clerical/ad2in
468;1;1;55082;K-12 student
469;2;35;55122;doctor/health care
470;1;1;55068;K-12 student
471;2;35;8904;executive/2anagerial
472;2;35;55418;other or not speci1ied
473;1;18;55112;college/grad student
474;2;25;92126;technician/engineer
475;1;25;55421;artist
476;2;35;55127;other or not speci1ied
477;2;35;55410;sales/2arketing
478;2;50;55113;sel1-e2ployed
479;2;25;55042;progra22er
480;1;18;55422;college/grad student
481;2;45;55115;executive/2anagerial
482;2;25;55305;sales/2arketing
483;2;18;55105;progra22er
484;1;1;55104;K-12 student
485;2;56;55042;executive/2anagerial
486;2;56;91367;other or not speci1ied
487;1;35;55082;technician/engineer
488;2;25;55107;progra22er
489;2;18;55455;college/grad student
490;2;1;55345;K-12 student
491;2;18;56043;college/grad student
492;2;25;55112;progra22er
493;2;50;55016;executive/2anagerial
494;1;35;17870;other or not speci1ied
495;2;18;55421;K-12 student
496;2;18;55455;college/grad student
497;1;25;55412;technician/engineer
498;2;35;55113;technician/engineer
499;1;25;55108;acade2ic/educator
500;1;18;55105;artist
501;2;25;55372;artist
502;2;35;55126;doctor/health care
503;2;35;73120;lawyer
504;2;25;17003;artist
505;2;35;37815;technician/engineer
506;2;25;55103-1006;sel1-e2ployed
507;1;25;55405;other or not speci1ied
508;2;25;55418;progra22er
509;2;25;55125;artist
510;2;18;55109;progra22er
511;1;45;15232;college/grad student
512;2;35;55379;other or not speci1ied
513;2;25;55119;other or not speci1ied
514;2;25;55113;artist
515;2;25;55406;acade2ic/educator
516;1;56;55033;sales/2arketing
517;1;25;55408;sales/2arketing
518;1;35;75240;progra22er
519;1;35;55038;sales/2arketing
520;1;35;55104;writer
521;2;56;55105;executive/2anagerial
522;2;25;55124;progra22er
523;2;50;55105;executive/2anagerial
524;2;18;91320;other or not speci1ied
525;2;35;19027;doctor/health care
526;2;45;94806;technician/engineer
527;1;25;11201;artist
528;1;18;83843;technician/engineer
529;2;35;92009;progra22er
530;2;25;10019;artist
531;1;18;22206;sales/2arketing
532;2;25;94301;executive/2anagerial
533;2;25;27514;progra22er
534;2;25;55902;scientist
535;2;35;95370;doctor/health care
536;2;25;1267;writer
537;2;45;7704;sales/2arketing
538;2;56;95407;sel1-e2ployed
539;2;25;55103;artist
540;2;18;15213;acade2ic/educator
541;1;18;5849574;college/grad student
542;2;18;78705;college/grad student
543;2;25;55057;custo2er service
544;2;35;94538;progra22er
545;2;35;1890;technician/engineer
546;1;25;37211;other or not speci1ied
547;2;35;76109;progra22er
548;1;35;96860;sel1-e2ployed
549;2;25;53217;doctor/health care
550;2;45;21559;1ar2er
551;2;35;55116;writer
552;2;50;23456;trades2an/cra1ts2an
553;2;25;94131;artist
554;2;25;94086;progra22er
555;2;18;53213;college/grad student
556;1;25;37221;ho2e2aker
557;2;56;30030;acade2ic/educator
558;2;35;55108;writer
559;1;25;60422;executive/2anagerial
560;2;45;81335;scientist
561;1;18;64060;sales/2arketing
562;2;35;48083;writer
563;2;25;53703;college/grad student
564;2;45;49419;acade2ic/educator
565;2;25;45242;sel1-e2ployed
566;2;25;92122;technician/engineer
567;2;35;52570-9634;writer
568;1;50;19716;technician/engineer
569;1;18;97339;college/grad student
570;2;25;33314;college/grad student
571;2;50;95401;custo2er service
572;2;18;61801;college/grad student
573;1;35;98119;artist
574;2;25;90214;une2ployed
575;2;25;92130;progra22er
576;1;45;20910;scientist
577;2;35;2115;other or not speci1ied
578;2;18;90064;technician/engineer
579;2;25;32839;custo2er service
580;2;1;8534;K-12 student
581;2;50;73543;sales/2arketing
582;2;18;67042;college/grad student
583;1;25;48067;other or not speci1ied
584;1;25;94403;other or not speci1ied
585;2;18;53703;acade2ic/educator
586;2;35;53092;sales/2arketing
587;2;25;92649;writer
588;1;25;23220;lawyer
589;2;18;90210;artist
590;1;35;98032;doctor/health care
591;2;25;76201;other or not speci1ied
592;2;18;92103;other or not speci1ied
593;1;50;91711;acade2ic/educator
594;1;56;60076;retired
595;2;25;10019;executive/2anagerial
596;1;25;1950;acade2ic/educator
597;2;35;80206;progra22er
598;2;35;95476;executive/2anagerial
599;2;50;53711;doctor/health care
600;2;35;66209;technician/engineer
601;1;18;6320;writer
602;1;56;14612;doctor/health care
603;1;25;32256;doctor/health care
604;2;45;32256;technician/engineer
605;1;18;44425;college/grad student
606;1;1;49507;K-12 student
607;2;25;43614;other or not speci1ied
608;2;18;18011;college/grad student
609;2;25;10012;executive/2anagerial
610;2;25;77025;college/grad student
611;2;35;20715;other or not speci1ied
612;2;50;95020;executive/2anagerial
613;2;35;10562;writer
614;2;35;90024;acade2ic/educator
615;2;50;32951;technician/engineer
616;2;25;94115;executive/2anagerial
617;1;25;92117;executive/2anagerial
618;2;25;74105;other or not speci1ied
619;1;18;94706;acade2ic/educator
620;2;18;13210;other or not speci1ied
621;2;18;93560;college/grad student
622;2;25;92612;other or not speci1ied
623;2;25;60555;technician/engineer
624;2;25;75207;acade2ic/educator
625;1;35;44106;progra22er
626;2;18;77005;college/grad student
627;2;50;97210;artist
628;1;35;20715;other or not speci1ied
629;1;1;48154;K-12 student
630;1;35;80525;sales/2arketing
631;2;35;28601;technician/engineer
632;2;45;7649;technician/engineer
633;2;25;94131;technician/engineer
634;1;1;49512;K-12 student
635;2;56;33785;technician/engineer
636;2;18;92055;writer
637;2;35;97132;progra22er
638;2;25;77584;doctor/health care
639;2;45;85202;technician/engineer
640;2;18;47406;college/grad student
641;1;35;55116;other or not speci1ied
642;1;35;78155;acade2ic/educator
643;2;25;23188;artist
644;2;25;93704;writer
645;2;35;11215;writer
646;2;35;8505;executive/2anagerial
647;2;35;85224;progra22er
648;1;25;94131;progra22er
649;2;25;80526;college/grad student
650;2;25;49445;technician/engineer
651;2;35;20895;executive/2anagerial
652;2;18;12222;writer
653;2;56;92660;retired
654;2;50;75023;executive/2anagerial
655;1;25;92629;artist
656;1;45;92106;sel1-e2ployed
657;1;50;34691;retired
658;1;25;10021;other or not speci1ied
659;1;25;28134;other or not speci1ied
660;2;45;70507;sel1-e2ployed
661;2;45;13114;acade2ic/educator
662;2;18;99163;college/grad student
663;1;25;12345;executive/2anagerial
664;2;35;74601;trades2an/cra1ts2an
665;2;18;13317;artist
666;1;18;8540;other or not speci1ied
667;2;25;98438;trades2an/cra1ts2an
668;1;25;22042;clerical/ad2in
669;2;25;30307;technician/engineer
670;2;25;30303;progra22er
671;2;18;61761;college/grad student
672;2;35;46845;executive/2anagerial
673;2;25;10023;writer
674;2;25;22042;technician/engineer
675;2;25;2048;writer
676;2;18;55129;sel1-e2ployed
677;2;50;94122;artist
678;2;25;34952;other or not speci1ied
679;2;35;29681;sel1-e2ployed
680;2;25;37013;progra22er
681;2;35;30501;executive/2anagerial
682;2;25;27510;college/grad student
683;2;25;27514;college/grad student
684;2;25;27510;college/grad student
685;2;25;27514;college/grad student
686;2;18;27514;college/grad student
687;1;25;14136;executive/2anagerial
688;2;56;13407;retired
689;1;50;48103;other or not speci1ied
690;2;25;90717;progra22er
691;2;35;96813;lawyer
692;1;25;85207;other or not speci1ied
693;2;35;98103;progra22er
694;2;18;76401;college/grad student
695;1;18;4240;acade2ic/educator
696;2;25;94114;progra22er
697;1;50;97330;doctor/health care
698;2;18;76401;college/grad student
699;2;18;73505;other or not speci1ied
700;2;50;14650;technician/engineer
701;1;18;1002;college/grad student
702;2;35;90808;executive/2anagerial
703;1;56;44074;acade2ic/educator
704;1;35;85712;1ar2er
705;2;25;48065;college/grad student
706;2;35;78664;writer
707;2;35;17740;executive/2anagerial
708;2;25;37042;other or not speci1ied
709;2;18;92647;other or not speci1ied
710;2;25;85207;writer
711;2;25;80521;trades2an/cra1ts2an
712;2;25;95136;other or not speci1ied
713;2;35;79912;executive/2anagerial
714;2;18;76013;college/grad student
715;2;18;53715;other or not speci1ied
716;2;18;98188;college/grad student
717;2;25;90211;lawyer
718;2;18;90211;artist
719;2;1;75070;other or not speci1ied
720;2;18;55129;other or not speci1ied
721;1;35;97520;ho2e2aker
722;2;25;55106;progra22er
723;2;25;98027;progra22er
724;2;50;90266;retired
725;2;56;8904;lawyer
726;1;25;77449;ho2e2aker
727;2;35;94061;lawyer
728;2;25;11598;doctor/health care
729;2;35;85284;progra22er
730;2;25;10580;other or not speci1ied
731;2;45;55410;clerical/ad2in
732;2;25;7030;executive/2anagerial
733;2;35;30034;sel1-e2ployed
734;2;25;90078;executive/2anagerial
735;2;25;4240;sales/2arketing
736;2;18;7070;progra22er
737;2;1;53711;une2ployed
738;2;18;99205;technician/engineer
739;2;35;55803;progra22er
740;2;25;24551;sales/2arketing
741;2;25;44095;custo2er service
742;2;18;54758;other or not speci1ied
743;1;1;60660;artist
744;2;25;77007;technician/engineer
745;2;1;90004;K-12 student
746;1;18;95019;une2ployed
747;2;18;98606;college/grad student
748;2;25;60098;other or not speci1ied
749;2;35;56303;trades2an/cra1ts2an
750;1;35;13066;ho2e2aker
751;1;25;97201;technician/engineer
752;1;25;97401;clerical/ad2in
753;2;1;42754;K-12 student
754;2;35;38024;executive/2anagerial
755;1;35;94002;other or not speci1ied
756;2;35;90064;other or not speci1ied
757;2;25;97401;progra22er
758;2;35;19518;executive/2anagerial
759;1;56;89156;clerical/ad2in
760;2;56;94114;scientist
761;2;18;99945;executive/2anagerial
762;2;1;63041;K-12 student
763;2;18;2882;K-12 student
764;2;18;85296;writer
765;2;25;74467;technician/engineer
766;1;25;95128;executive/2anagerial
767;2;25;45241;progra22er
768;2;25;17067;progra22er
769;2;45;2421;technician/engineer
770;2;18;98499;college/grad student
771;1;50;75087;acade2ic/educator
772;2;18;89118;progra22er
773;2;25;48108;doctor/health care
774;2;18;22903;college/grad student
775;2;1;56258;technician/engineer
776;1;25;92627;clerical/ad2in
777;2;18;87543;une2ployed
778;2;18;32694;technician/engineer
779;2;25;60156;other or not speci1ied
780;2;25;91776;technician/engineer
781;2;18;95076;college/grad student
782;2;56;28223;acade2ic/educator
783;2;25;53703;college/grad student
784;2;18;11040;other or not speci1ied
785;2;18;29307;une2ployed
786;2;25;55987;other or not speci1ied
787;2;18;77802;college/grad student
788;2;25;37601;other or not speci1ied
789;2;18;67212;acade2ic/educator
790;2;25;45694;technician/engineer
791;2;35;27511;executive/2anagerial
792;2;25;1002;technician/engineer
793;1;35;37043;sales/2arketing
794;2;50;10543;writer
795;1;35;19147;sales/2arketing
796;2;50;98237;doctor/health care
797;1;50;20175;executive/2anagerial
798;1;25;48464;writer
799;1;25;98498;custo2er service
800;1;35;72032;progra22er
801;1;25;95776;writer
802;2;25;22801;sel1-e2ployed
803;2;18;67217;college/grad student
804;2;25;90032;writer
805;2;35;37211;progra22er
806;2;35;34990;other or not speci1ied
807;2;18;89015;college/grad student
808;2;25;85226;executive/2anagerial
809;2;25;70508;technician/engineer
810;2;25;98006;progra22er
811;2;50;94043;other or not speci1ied
812;2;25;37930;doctor/health care
813;2;18;70002;college/grad student
814;1;18;92612;college/grad student
815;2;25;37130;college/grad student
816;2;45;92108;other or not speci1ied
817;2;18;41076;college/grad student
818;2;18;60107;college/grad student
819;2;35;60611;executive/2anagerial
820;2;35;78759;executive/2anagerial
821;2;18;14456;artist
822;1;25;7666;acade2ic/educator
823;2;25;92078;other or not speci1ied
824;2;35;94530;progra22er
825;2;56;39532;acade2ic/educator
826;1;35;80210;acade2ic/educator
827;2;45;55409;artist
828;2;18;70817;college/grad student
829;2;1;53711;une2ployed
830;2;35;60657;executive/2anagerial
831;1;45;20874;other or not speci1ied
832;2;18;19464;artist
833;2;35;46825;executive/2anagerial
834;1;35;78640;progra22er
835;2;56;94952;other or not speci1ied
836;2;25;10023;lawyer
837;2;56;8540;executive/2anagerial
838;2;50;92661;technician/engineer
839;2;25;98103;other or not speci1ied
840;1;25;2828;clerical/ad2in
841;1;50;92119;sales/2arketing
842;1;18;55102;other or not speci1ied
843;2;25;49321;executive/2anagerial
844;2;25;92121;other or not speci1ied
845;1;18;20009;other or not speci1ied
846;2;25;80209;custo2er service
847;1;25;80228;executive/2anagerial
848;2;25;94121;scientist
849;2;25;75006;clerical/ad2in
850;2;35;60640;other or not speci1ied
851;2;18;75287;college/grad student
852;2;25;92105;custo2er service
853;2;25;55447;technician/engineer
854;1;25;44092;sel1-e2ployed
855;1;18;72701;artist
856;1;45;2453;doctor/health care
857;2;35;11701;technician/engineer
858;2;35;10013;sales/2arketing
859;2;25;10128;progra22er
860;2;18;78237;other or not speci1ied
861;2;25;37027;executive/2anagerial
862;2;35;10019;executive/2anagerial
863;2;25;62522;executive/2anagerial
864;1;25;97205;other or not speci1ied
865;2;35;91711;acade2ic/educator
866;2;1;8820;K-12 student
867;2;45;95814;progra22er
868;2;50;01702-7224;technician/engineer
869;2;18;92026;writer
870;1;25;2144;acade2ic/educator
